Rk,Player,,,Team,Conf,Role,Min%,PRPG!,D-PRPG,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FTA,FT %,2PA,2P %,3P/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,So,9-Jun,Kaleb Smith,UC Riverside,BW,Wing F,66.3,0.9,1.8,-3.5,96.5,111.8,22.6,43.7,47.8,4.4,14.2,7,15.7,0,1.3,26.3,64-84,0.762,60-155,0.387,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jr,6-Jun,Corey Stephenson,Cal St. Bakersfield,BW,Wing F,64,1.4,1.9,-2.7,100.5,111.6,25,46.8,51,9.8,15.7,8.3,19.9,1.2,2.5,26.1,63-78,0.808,119-265,0.449,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sr,2-Jun,Tyler Beard,Cal St. Northridge,BW,Scoring PG,52.2,0.4,1.9,-1.2,97.9,106.1,18.9,46.8,49.7,2.1,13.2,25.9,25.9,0.7,2,21.8,28-38,0.737,41-102,0.402,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,So,4-Jun,Tom Beattie,Hawaii,BW,Wing G,64.9,0,1.9,-4,92.4,110.5,17.8,46.9,51.1,2,9.4,12.2,24,0.4,1.2,36.4,46-64,0.719,66-131,0.504,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jr,3-Jun,Nate Pickens,UC Riverside,BW,Combo G,67.2,1.9,1.9,0.6,110.2,111.2,19.6,49.6,54.9,4.6,10.4,13.5,16.5,1.7,1.7,44,81-106,0.764,49-124,0.395,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sr,5-Jun,Cole Anderson,UC Santa Barbara,BW,Combo G,71.9,2.2,1.9,1.1,126.6,112.4,12.3,66.3,67.4,0.8,7.1,6.8,11.7,0.2,1.4,9.2,17-19,0.895,18-42,0.429,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jr,10-Jun,Joel Armotrading,UC Riverside,BW,C,52.7,1.4,2,0,118.8,105.8,13.5,57.3,60.8,11.5,22.5,4,17.8,5.9,1,45.3,39-53,0.736,67-117,0.573,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,So,Jun-00,Connor Sevilla,UC Davis,BW,Combo G,74.7,0.9,2,-2.4,108.4,112.5,14.4,50.7,54.3,1.8,4.4,6.1,11.3,0.1,0.8,18.5,38-42,0.905,22-57,0.386,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sr,3-Jun,Jarred Hyder,Cal Poly,BW,Combo G,76.4,1.9,2,-1.3,103.1,113.9,22.1,51.4,53.6,1.8,9.6,17.1,18.4,0,2.1,15.8,50-63,0.794,62-128,0.484,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sr,5-Jun,Mac Riniker,Cal Poly,BW,Wing G,61.2,1.1,2,-0.9,100.1,107.9,21.3,56.9,58.1,6,14.4,17.7,27.3,2.4,3.3,35.2,51-82,0.622,95-156,0.609,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sr,5-Jun,Owen Koonce,Cal Poly,BW,Wing G,75,3.2,2,2,114.7,112.2,23.9,60.2,63.9,4.9,12.7,12.3,19,1.8,1.9,26.4,95-107,0.888,141-238,0.592,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sr,2-Jun,Isaac Jessup,Cal Poly,BW,Combo G,68.8,2.9,2,3.2,124.5,112.3,15.7,63.1,63.8,3.1,9.5,14.7,14.3,0.3,2.7,9.2,19-25,0.76,29-50,0.58,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jr,10-Jun,Kenny Pohto,UC Santa Barbara,BW,C,65.3,2.6,2.1,1.1,114.8,108.5,23.7,61.1,63.2,11.4,16,13.1,19.5,1.5,1.2,52.3,85-125,0.68,146-238,0.613,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sr,5-Jun,Ryan Rapp,Hawaii,BW,Wing G,58.9,0.7,2.1,-0.1,100.7,107.7,17.9,47.4,51.7,4.3,15.5,11.7,18.9,0.9,1.3,31.4,42-55,0.764,47-91,0.516,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,So,Jun-00,Barrington Hargress,UC Riverside,BW,Scoring PG,79.9,4.2,2.1,4.3,111.9,112.5,31.5,49.8,53,1.2,7.4,29.7,10.8,0.1,2.1,27,109-148,0.736,173-339,0.51,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
